Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
SAMTLIGA BROTT;SAMTLIGA BROTT;1478 879 ;-21 760 ;- 1 ;14 016 
Brott mot brottsbalken;Brott mot brottsbalken, totalt;1183 665 ;-44 564 ;- 4 ;11 218 
BrB 3-7 kap. Brott mot person;Brott mot person, totalt;308 967 ;15 855 ; 5 ;2 928 
3 kap. Brott mot liv och hälsa;Brott mot liv och hälsa, totalt;95 509 ;3 006 ; 3 ; 905 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Fullbordat mord och dråp, totalt; 501 ; 16 ; 3 ; 5 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot kvinna/flicka; 171 ;- 10 ;- 6 ; 2 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot kvinna/flicka, med användning av skjutvapen; 12 ;- 6 ;- 33 ; 0 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot kvinna/flicka, utan användning av skjutvapen; 159 ;- 4 ;- 2 ; 2 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot man/pojke; 330 ; 26 ; 9 ; 3 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot man/pojke, med användning av skjutvapen; 77 ;- 6 ;- 7 ; 1 
3 kap. 1-2 § BrB Fullbordat mord och dråp;Mot man/pojke, utan användning av skjutvapen; 253 ; 32 ; 14 ; 2 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Försök till mord eller dråp, totalt;1 353 ; 33 ; 3 ; 13 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot barn under 18 år; 137 ;- 1 ;- 1 ; 1 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot flicka under 18 år; 32 ;- 1 ;- 3 ; 0 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot pojke under 18 år; 105 ;- ;- ; 1 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot kvinna 18 år eller äldre; 218 ;- ;- ; 2 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot kvinna 18 år eller äldre, närstående genom parrelation; 61 ; 17 ; 39 ; 1 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 15 ;- 5 ;- 25 ; 0 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 50 ;- 1 ;- 2 ; 0 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot kvinna 18 år eller äldre, obekanta; 92 ;- 11 ;- 11 ; 1 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot man 18 år eller äldre; 998 ; 34 ; 4 ; 9 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot man 18 år eller äldre, närstående genom parrelation; 23 ;- 9 ;- 28 ; 0 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot man 18 år eller äldre, närstående genom släktskap/familj; 29 ;- 5 ;- 15 ; 0 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 168 ;- 73 ;- 30 ; 2 
3 kap. 1, 2 § BrB Försök till mord eller dråp;Mot man 18 år eller äldre, obekanta; 778 ; 121 ; 18 ; 7 
3 kap. 3 § BrB Barnadråp 3 §;Barnadråp, totalt; 1 ;- ;- ; 0 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Misshandel, totalt;88 387 ;2 788 ; 3 ; 838 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot barn 0-6 år;3 905 ; 124 ; 3 ; 37 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 0-6 år;1 633 ; 157 ; 11 ; 15 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 0-6 år, bekant med offret;1 564 ; 127 ; 9 ; 15 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 0-6 år, bekant med offret, utomhus; 98 ; 17 ; 21 ; 1 
